,Column,year,id,artist and album name,release format,label,genre,subgenre,want,have
135771,74508,2020,21273190,"Elvis* - 3764 Elvis Presley Blvd. Memphis, Tenn. 38116",Limited Edition,"Not On Label (Elvis Presley), Graceland, Memphis At The Jungle Room","Rock, Pop, Folk, World, & Country","Ballad, Rock & Roll",18,1
135772,74508,2020,21273190,"Elvis* - 3764 Elvis Presley Blvd. Memphis, Tenn. 38116",Stereo,"Not On Label (Elvis Presley), Graceland, Memphis At The Jungle Room","Rock, Pop, Folk, World, & Country","Ballad, Rock & Roll",18,1
135773,74508,2020,21273190,"Elvis* - 3764 Elvis Presley Blvd. Memphis, Tenn. 38116",CD,"Not On Label (Elvis Presley), Graceland, Memphis At The Jungle Room","Rock, Pop, Folk, World, & Country","Ballad, Rock & Roll",18,1
135774,74508,2020,21273190,"Elvis* - 3764 Elvis Presley Blvd. Memphis, Tenn. 38116",Box Set,"Not On Label (Elvis Presley), Graceland, Memphis At The Jungle Room","Rock, Pop, Folk, World, & Country","Ballad, Rock & Roll",18,1
135775,74508,2020,21273190,"Elvis* - 3764 Elvis Presley Blvd. Memphis, Tenn. 38116",Unofficial Release,"Not On Label (Elvis Presley), Graceland, Memphis At The Jungle Room","Rock, Pop, Folk, World, & Country","Ballad, Rock & Roll",18,1
136056,74646,2020,15990691,Elvis* - The Companion Album - Work In Progress - The 'Guitar Man' Album Sessions,Vinyl,Not On Label (Elvis Presley),"Rock, Pop, Folk, World, & Country, Stage & Screen","Ballad, Country, Rock & Roll",18,15
136057,74646,2020,15990691,Elvis* - The Companion Album - Work In Progress - The 'Guitar Man' Album Sessions,LP,Not On Label (Elvis Presley),"Rock, Pop, Folk, World, & Country, Stage & Screen","Ballad, Country, Rock & Roll",18,15
136058,74646,2020,15990691,Elvis* - The Companion Album - Work In Progress - The 'Guitar Man' Album Sessions,Compilation,Not On Label (Elvis Presley),"Rock, Pop, Folk, World, & Country, Stage & Screen","Ballad, Country, Rock & Roll",18,15
136059,74646,2020,15990691,Elvis* - The Companion Album - Work In Progress - The 'Guitar Man' Album Sessions,Unofficial Release,Not On Label (Elvis Presley),"Rock, Pop, Folk, World, & Country, Stage & Screen","Ballad, Country, Rock & Roll",18,15
136060,74646,2020,15990691,Elvis* - The Companion Album - Work In Progress - The 'Guitar Man' Album Sessions,"7""",Not On Label (Elvis Presley),"Rock, Pop, Folk, World, & Country, Stage & Screen","Ballad, Country, Rock & Roll",18,15
136061,74646,2020,15990691,Elvis* - The Companion Album - Work In Progress - The 'Guitar Man' Album Sessions,45 RPM,Not On Label (Elvis Presley),"Rock, Pop, Folk, World, & Country, Stage & Screen","Ballad, Country, Rock & Roll",18,15
136062,74646,2020,15990691,Elvis* - The Companion Album - Work In Progress - The 'Guitar Man' Album Sessions,CD,Not On Label (Elvis Presley),"Rock, Pop, Folk, World, & Country, Stage & Screen","Ballad, Country, Rock & Roll",18,15
136211,74695,2020,16821009,a-ha - Analogue,Vinyl,Not On Label,"Electronic, Rock, Pop","Pop Rock, Ballad",178,14
