,Column,year,id,artist and album name,release format,label,genre,subgenre,want,have
134110,73845,2020,26512652,Trupięgi - Lesman Boso,Album,"Not On Label (Trupięgi Self-Released), Trupięgi, Studio Nagraniowe SMOK","Rock, Pop, Folk, World, & Country","Ballad, Acoustic",0,5
134149,73867,2020,35295817,Piotr Grzyb & Zupa Grzybowa - Minęło Lat Dwadzieścia,CD,"Not On Label, Emka Studio","Pop, Folk, World, & Country","Ballad, Poetry",1,0
134150,73867,2020,35295817,Piotr Grzyb & Zupa Grzybowa - Minęło Lat Dwadzieścia,Album,"Not On Label, Emka Studio","Pop, Folk, World, & Country","Ballad, Poetry",1,0
134161,73873,2020,16275215,Tensheds - The Days Of My Confinement,CD,"Not On Label (Tensheds Self-released), Disc Wizards","Pop, Classical","Modern, Ballad",1,16
134162,73873,2020,16275215,Tensheds - The Days Of My Confinement,Album,"Not On Label (Tensheds Self-released), Disc Wizards","Pop, Classical","Modern, Ballad",1,16
134203,73897,2020,15723872,Michelle Gurevich - Ecstacy In The Shadow Of Ecstacy,Vinyl,Not On Label (Michelle Gurevich Self-released),"Rock, Pop",Ballad,123,282
134204,73897,2020,15723872,Michelle Gurevich - Ecstacy In The Shadow Of Ecstacy,LP,Not On Label (Michelle Gurevich Self-released),"Rock, Pop",Ballad,123,282
134205,73897,2020,15723872,Michelle Gurevich - Ecstacy In The Shadow Of Ecstacy,Album,Not On Label (Michelle Gurevich Self-released),"Rock, Pop",Ballad,123,282
134206,73897,2020,15723872,Michelle Gurevich - Ecstacy In The Shadow Of Ecstacy,Limited Edition,Not On Label (Michelle Gurevich Self-released),"Rock, Pop",Ballad,123,282
134212,73899,2020,22557851,Linda Eder - Retro - Volume Two,CD,Not On Label (Linda Eder Self-released),"Pop, Stage & Screen","Vocal, Ballad",10,7
134213,73899,2020,22557851,Linda Eder - Retro - Volume Two,Album,Not On Label (Linda Eder Self-released),"Pop, Stage & Screen","Vocal, Ballad",10,7
134302,73946,2020,16861440,Gene Kelly - Good Morning,Vinyl,Not On Label,Pop,Ballad,4,1
134303,73946,2020,16861440,Gene Kelly - Good Morning,"12""",Not On Label,Pop,Ballad,4,1
134304,73946,2020,16861440,Gene Kelly - Good Morning,45 RPM,Not On Label,Pop,Ballad,4,1
134305,73946,2020,16861440,Gene Kelly - Good Morning,Single,Not On Label,Pop,Ballad,4,1
134306,73946,2020,16861440,Gene Kelly - Good Morning,Stereo,Not On Label,Pop,Ballad,4,1
134410,73978,2020,15917605,Various - Come With Me If You Want To Live ... This Life Together,Cassette,Not On Label,"Rock, Pop, Folk, World, & Country","Soft Rock, Ballad, Folk",0,4
134411,73978,2020,15917605,Various - Come With Me If You Want To Live ... This Life Together,Compilation,Not On Label,"Rock, Pop, Folk, World, & Country","Soft Rock, Ballad, Folk",0,4
134412,73978,2020,15917605,Various - Come With Me If You Want To Live ... This Life Together,Limited Edition,Not On Label,"Rock, Pop, Folk, World, & Country","Soft Rock, Ballad, Folk",0,4
134437,73990,2020,25590886,Cztery Pory Miłowania - W Zamyśleniu,CD,Not On Label,"Pop, Folk, World, & Country","Ballad, Vocal",2,6
134438,73990,2020,25590886,Cztery Pory Miłowania - W Zamyśleniu,Album,Not On Label,"Pop, Folk, World, & Country","Ballad, Vocal",2,6
134439,73990,2020,25590886,Cztery Pory Miłowania - W Zamyśleniu,Stereo,Not On Label,"Pop, Folk, World, & Country","Ballad, Vocal",2,6
134488,74009,2020,25458754,Paula Van Hissenhoven - Quién Soy (Lado A),CD,Not On Label,Pop,"Indie Pop, Ballad",0,4
134499,74014,2020,14931472,Elvis* - Work In Progress (The Guitar Man Album Sessions Volume 1),CD,Not On Label (Elvis Presley),"Pop, Folk, World, & Country, Stage & Screen","Ballad, Country",10,20
134500,74014,2020,14931472,Elvis* - Work In Progress (The Guitar Man Album Sessions Volume 1),Compilation,Not On Label (Elvis Presley),"Pop, Folk, World, & Country, Stage & Screen","Ballad, Country",10,20
134501,74014,2020,14931472,Elvis* - Work In Progress (The Guitar Man Album Sessions Volume 1),Unofficial Release,Not On Label (Elvis Presley),"Pop, Folk, World, & Country, Stage & Screen","Ballad, Country",10,20
134653,74062,2020,16235691,Andrea Cerrato (3) - Vita,CD,"Not On Label (Andrea Cerrato (3) Self-released), Andrea Cerrato, Shelve, www.supportiottici.it, CD-Click",Pop,"Vocal, Ballad, Acoustic",1,1
134654,74062,2020,16235691,Andrea Cerrato (3) - Vita,Album,"Not On Label (Andrea Cerrato (3) Self-released), Andrea Cerrato, Shelve, www.supportiottici.it, CD-Click",Pop,"Vocal, Ballad, Acoustic",1,1
134665,74070,2020,17563885,Marek Werens - Serca Dwa,CD,"Not On Label (Marek Werens Self-released), Studio Mateusza Salaty, Embryo Nagrania, Gamma","Rock, Pop","Pop Rock, Ballad",0,1
134666,74070,2020,17563885,Marek Werens - Serca Dwa,Album,"Not On Label (Marek Werens Self-released), Studio Mateusza Salaty, Embryo Nagrania, Gamma","Rock, Pop","Pop Rock, Ballad",0,1
134799,74174,2020,16240143,"Various - Festivalul ""Mamaia Copiilor"" - 20/UCMR - 100 de ani",CD,"Not On Label, Festivalul Mamaia Copiilor",Pop,"Ballad, Schlager, Vocal",1,1
134800,74174,2020,16240143,"Various - Festivalul ""Mamaia Copiilor"" - 20/UCMR - 100 de ani",Album,"Not On Label, Festivalul Mamaia Copiilor",Pop,"Ballad, Schlager, Vocal",1,1
134900,74208,2020,19474276,Los Desertores (2) - Compilado,CD,Not On Label,"Rock, Pop","Ballad, Pop Rock",0,1
134901,74208,2020,19474276,Los Desertores (2) - Compilado,Compilation,Not On Label,"Rock, Pop","Ballad, Pop Rock",0,1
134902,74208,2020,19474276,Los Desertores (2) - Compilado,Stereo,Not On Label,"Rock, Pop","Ballad, Pop Rock",0,1
